Variable,Value,Source Type,Reference,Confidence,Notes
MEMBERS_COUNT,600,Benchmark & Feasibility Study,ABC Climbing Wall Association + Comparable gyms,High,Average of 500–700 members regional gyms
MEMBERSHIP_PRICE,45,Competitor Pricing,The Climbing Hangar / Depot Climbing,High,Midpoint between competitor prices
DAY_PASSES_MONTHLY,600,Benchmark Estimate,Sport England + ABC Climbing,Medium,~20 per day
DAY_PASS_PRICE,13.5,Competitor Pricing,Depot / Hangar / Substation,High,Current regional day pass average
OTHER_REV_MONTH,7000,Management Estimate,Comparable café & retail revenue,Medium,"Includes food, drink, hire, events"
RENT,70000,Head of Terms,Queensgate / CBRE lease draft,High,"8,000 sq ft unit rent"
BUSINESS_RATES,35000,Estimate,VOA 2025 Multiplier 0.499,Medium,Based on £70k rateable value
SALARIES,112000,Management Estimate,"Staff structure 1 GM, 2 FTE, 4 PTE",Medium,Includes NI & pensions
UTILITIES,24000,Benchmark,Gym operator data,Medium,£2–2.5 per sq ft
INSURANCE,3000,Supplier Quote,Hiscox / Marsh,Medium,Commercial leisure policy
MARKETING,12000,Budget,1% of revenue,Medium,Annual marketing allowance
MAINTENANCE,10000,Budget,Climbing wall maintenance,Medium,Annual hold rotation & cleaning
CAPEX_WALLS,250000,Supplier Quote,Lapis Climbing / King Kong Walls,High,"Includes design, build, transport"
CAPEX_MATTING,90000,Supplier Quote,Abstract Matting Systems,High,Full floor coverage
CAPEX_MEZZANINE,120000,Supplier Quote,D&B Mezzanine Systems,High,Steel + install
CAPEX_HOLDS,30000,Benchmark,Holdz / Beta / Core,Medium,Mixed supplier pricing
CAPEX_EQUIPMENT,16500,Budget,POS + Equipment,Medium,"Till, gym equipment, rental shoes"
CAPEX_BRANDING,20000,Budget,Funk3000 Creative Launch,Medium,Branding + opening campaign
CAPEX_WORKING_CAPITAL,20000,Budget,Opex buffer,Medium,3 months opex
CAPEX_CONTINGENCY,25000,Best Practice,Standard 5%,High,Construction contingency
VAT_RATE,20,Statutory,UK HMRC,High,Standard rate
VAT_CLAIM,Yes,Business Registration,Funk3000 Ltd VAT-registered,High,VAT reclaimable
BANK_LOAN,250000,Financing Assumption,Lloyds / HSBC SME loans,High,7y 8% interest
EQUITY,230000,Owner Capital,Funk3000 Ltd,High,Owner investment
ARRANGEMENT_FEE,2,Benchmark,UK Finance SME lending,Medium,2% of loan amount
INTEREST_ONLY_MONTHS,6,Standard,Capex project build allowance,Medium,Interest-only period
REVENUE_GROWTH,5,Benchmark,Industry average,Medium,Organic growth rate
OPEX_INFLATION,4,ONS,UK CPI,Medium,Expected inflation
EBITDA_MARGIN,25,Derived,Climbing gym filings,Medium,Target operating margin
DSCR_THRESHOLD,1.2,Bank Standard,SME Lending,High,Minimum coverage ratio
LIQUIDITY_THRESHOLD,2,Bank Standard,SME Lending,High,2 months fixed costs
LOAN_RATE,8,Benchmark,UK SME loan average,High,Annual interest rate
LOAN_TERM,7,Standard,Bank lending products,High,Years
